tf,ub,lb,fast,aa,bb,cc,dd,ee,ff,gg,hh,multiplier,net_profit,drawdown,score
900,1.2000000000000002,0.4,70,3,2,3,4,5,10,12,15,60,0,0,5.735423633982416
580,2.8000000000000003,0.3,80,4,2,3,4,6,10,12,15,60,0,0,5.734867610425328
830,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.734210633034338
920,2.8000000000000003,0.5,40,3,2,3,4,6,10,12,15,60,0,0,5.725376278265257
950,1.7000000000000002,0.3,80,5,2,3,4,7,10,12,15,60,0,0,5.721629916706336
920,1.2000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.716220031040493
760,1.0,0.1,70,4,2,3,4,8,10,12,15,60,0,0,5.711559930366893
770,1.2000000000000002,0.3,70,4,2,3,4,8,10,12,15,60,0,0,5.70994945135454
900,1.2000000000000002,0.3,70,3,2,3,4,5,10,12,15,60,0,0,5.707081716431794
890,2.9000000000000004,1.1,40,3,2,3,4,6,10,12,15,60,0,0,5.700488317904753
910,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.700214170315063
980,1.4,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.699049350303506
950,1.1,0.1,60,3,2,3,5,8,10,12,15,60,0,0,5.681132783407204
890,1.3000000000000005,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.674454468681208
940,2.5000000000000004,0.6,50,3,2,3,4,5,10,12,15,60,0,0,5.674390078582207
830,2.0,0.1,70,4,2,3,4,6,10,12,15,60,0,0,5.673022281581609
910,1.5000000000000002,0.2,90,5,2,3,5,6,10,12,15,60,0,0,5.672570777968262
760,1.0,0.3,70,4,2,3,4,8,10,12,15,60,0,0,5.66584774990488
920,1.3000000000000005,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.6636348832638745
580,2.1,0.3,80,4,2,3,4,5,10,12,15,60,0,0,5.663251218514689
880,2.8000000000000003,1.2000000000000002,40,3,2,3,4,7,10,12,15,60,0,0,5.660046252480274
940,1.3000000000000005,0.2,90,5,2,3,5,6,10,12,15,60,0,0,5.635193593856688
840,2.7,0.9,40,3,2,3,4,5,10,12,15,60,0,0,5.634393021076939
880,2.8000000000000003,1.1,40,3,2,3,4,5,10,12,15,60,0,0,5.632562463262131
990,2.5000000000000004,2.2,70,5,2,3,5,6,10,12,15,60,0,0,5.628210495223672
840,2.1,0.1,90,5,2,3,4,6,10,12,15,60,0,0,5.610162714980832
950,1.0,0.1,60,3,2,3,5,8,10,12,15,60,0,0,5.608737858472904
900,1.2000000000000002,0.4,70,3,2,3,4,6,10,12,15,60,0,0,5.60600584752137
850,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.605537963344365
760,1.1,0.3,70,4,2,3,4,6,10,12,15,60,0,0,5.600940131252839
950,1.8000000000000005,0.1,80,3,2,3,5,6,10,12,15,60,0,0,5.598025219822689
870,1.5000000000000002,0.5,80,4,2,3,5,7,10,12,15,60,0,0,5.591791227183593
890,1.6,0.1,90,4,2,3,4,7,10,12,15,60,0,0,5.578336644857922
830,1.6,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.577295256061012
820,1.1,0.3,70,4,2,3,4,8,10,12,15,60,0,0,5.575363263398971
920,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.571470795084456
880,2.8000000000000003,0.8,40,3,2,3,4,5,10,12,15,60,0,0,5.5695136384325465
910,1.3000000000000005,0.3,90,5,2,3,5,7,10,12,15,60,0,0,5.557668265873641
860,1.9,0.8,80,5,2,3,4,5,10,12,15,60,0,0,5.556638315295851
860,1.8000000000000005,0.4,80,3,2,3,5,6,10,12,15,60,0,0,5.5548862878931065
760,1.2000000000000002,0.3,70,4,2,3,4,8,10,12,15,60,0,0,5.552195236807542
580,2.9000000000000004,0.3,80,4,2,3,4,5,10,12,15,60,0,0,5.54869332901352
840,1.5000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.544511095730532
830,0.9,0.2,70,5,2,3,4,7,10,12,15,60,0,0,5.539715500789959
970,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.537737953064308
890,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.533223379423576
580,2.8000000000000003,0.3,80,5,2,3,4,5,10,12,15,60,0,0,5.527639175344731
820,1.3000000000000005,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.525529020636374
840,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.5205592275076345
880,2.6,1.3000000000000005,40,3,2,3,4,7,10,12,15,60,0,0,5.516434512537533
890,2.4000000000000004,0.8,40,3,2,3,4,6,10,12,15,60,0,0,5.511156043464136
930,1.5000000000000002,0.1,90,5,2,3,5,6,10,12,15,60,0,0,5.500230478571544
760,1.2000000000000002,0.1,70,4,2,3,4,8,10,12,15,60,0,0,5.497102569781714
970,1.2000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.493149807944614
580,2.8000000000000003,0.3,80,3,2,3,4,5,10,12,15,60,0,0,5.492992277849098
900,1.2000000000000002,0.4,70,3,2,3,4,7,10,12,15,60,0,0,5.490844752096269
950,2.7,0.1,20,3,2,3,4,6,10,12,15,60,0,0,5.488040018728367
900,1.2000000000000002,0.4,70,3,2,3,4,8,10,12,15,60,0,0,5.470394518839498
960,1.5000000000000002,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.466493476590256
990,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.46560272793595
580,1.9,0.3,80,4,2,3,4,5,10,12,15,60,0,0,5.456816904220777
930,1.5000000000000002,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.446931367493223
900,1.2000000000000002,0.3,70,3,2,3,4,6,10,12,15,60,0,0,5.434793303238412
770,1.1,0.3,70,4,2,3,5,8,10,12,15,60,0,0,5.433626041350642
830,1.7000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.432076299406029
900,2.4000000000000004,1.3000000000000005,40,3,2,3,4,7,10,12,15,60,0,0,5.424920782138995
990,1.5000000000000002,0.3,70,5,2,3,5,6,10,12,15,60,0,0,5.416969608172069
830,2.8000000000000003,0.3,80,4,2,3,4,5,10,12,15,60,0,0,5.411136169103938
830,2.9000000000000004,0.1,70,4,2,3,4,8,10,12,15,60,0,0,5.410416803561446
840,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.409055693010792
960,2.9000000000000004,0.9,30,3,2,3,4,6,10,12,15,60,0,0,5.406712118264701
840,1.5000000000000002,0.5,80,5,2,3,5,6,10,12,15,60,0,0,5.405119526835253
850,1.6,0.3,80,3,2,3,4,6,10,12,15,60,0,0,5.39775897941024
820,2.8000000000000003,0.2,90,5,2,3,4,7,10,12,15,60,0,0,5.395302231413868
970,1.4,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.392395261591648
900,1.7000000000000002,0.2,90,5,2,3,4,7,10,12,15,60,0,0,5.385233998751438
900,2.9000000000000004,1.3000000000000005,40,3,2,3,4,8,10,12,15,60,0,0,5.38453975923776
930,1.5000000000000002,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.38022357932564
580,2.2,0.3,80,4,2,3,4,5,10,12,15,60,0,0,5.369923889446102
920,1.2000000000000002,0.2,80,5,2,3,5,6,10,12,15,60,0,0,5.369225267670553
900,2.6,0.3,40,3,2,3,4,6,10,12,15,60,0,0,5.362514328570057
950,1.3000000000000005,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.358738323256436
860,2.8000000000000003,0.9,40,3,2,3,4,6,10,12,15,60,0,0,5.357288363480572
960,1.4,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.355543364395166
820,1.6,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.35225783957177
720,1.1,0.1,70,4,2,3,4,8,10,12,15,60,0,0,5.342080438555142
960,1.1,0.4,80,5,2,3,4,6,10,12,15,60,0,0,5.339827222250099
900,2.7,0.8,40,3,2,3,4,5,10,12,15,60,0,0,5.337213761786656
820,2.3000000000000003,0.4,80,3,2,3,5,6,10,12,15,60,0,0,5.323052973721464
990,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.312463658270837
850,1.9,0.5,80,5,2,3,5,7,10,12,15,60,0,0,5.2913904886762735
810,1.4,0.1,80,5,2,3,5,6,10,12,15,60,0,0,5.2902829945709255
920,1.6,0.3,80,5,2,3,5,6,10,12,15,60,0,0,5.287419955060306
950,0.8,0.1,60,3,2,3,5,8,10,12,15,60,0,0,5.28732320984161
880,2.9000000000000004,1.4,40,3,2,3,4,5,10,12,15,60,0,0,5.281220729694269
770,1.1,0.3,70,4,2,3,4,8,10,12,15,60,0,0,5.277401183881645
890,2.7,1.2000000000000002,40,3,2,3,4,6,10,12,15,60,0,0,5.269565149463868
980,1.1,0.1,60,3,2,3,5,8,10,12,15,60,0,0,5.264602690608856
980,1.7000000000000002,0.1,80,4,2,3,5,7,10,12,15,60,0,0,5.259754695920822
950,0.9,0.1,60,3,2,3,5,8,10,12,15,60,0,0,5.259602138355925
880,2.6,1.2000000000000002,50,3,2,3,4,5,10,12,15,60,0,0,5.2593314908206406
940,1.3000000000000005,0.4,80,5,2,3,5,6,10,12,15,60,0,0,5.253755693784701
810,2.9000000000000004,1.4,60,4,2,3,4,5,10,12,15,60,0,0,5.241715623129972
790,2.0,0.4,80,3,2,3,5,6,10,12,15,60,0,0,5.239797185841829
